LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2020-03-25 07:10:17,1900-01-00 00:00:00,,54:35:30:C6:B2:35,-24, ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:17,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:17,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-23, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:17,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:18,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:18,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:18,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:18,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:18,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:18,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:19,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:19,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:19,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:19,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:19,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:19,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:19,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:19,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-25 07:10:19,1900-01-00 00:00:00,Seguridad2019-WPA2,54:35:30:C6:B2:35,-24, WPA2 ,0.000000,0.000000,0.000,0.000,AP
